1	Maxine	female	1	0	2018-07-02	When I got it the animal was small and cute and now it is grown up and not cute.	 This beauty spent her first year and a half with a family who had a dog and then returned her	3	NULL	user17
2	Millie	female	1	0	2018-07-02	The animal turned 10 and you surrender the animal when it reaches that age.	 This gorgeous girl hails from Puerto Rico. She is a 3-year-old P	143	NULL	user16
3	Brody	male	1	0	2018-07-03	The animal chews and I don't want my belongings destroyed.	 is a PRECIOUS little man!  He's so sweet and snuggly!   gets along w	110	NULL	user16
4	Ollie	male	1	0	2018-07-05	I am going to have a child and don't want the animal anymore.	" If you're looking for a ""no brainer"", check out this girl. She is a really E"	111	NULL	user02
5	Buster	male	1	0	2018-07-06	I didn't know that owning an animal was this expensive	  He's approximately one to one and a half years old. He was rescued a few months	103	4015575521	user02
6	Sammie	female	1	0	2018-07-09	"I told my dying family member that I would care for their animal after they died to make them feel better, but I really don't want the animal so I am surrendering it to you."	  was rescued from a feral colony and is a shy kitten. She needs a truly patient and caring p	51	NULL	user11
7	Beau	male	1	0	2018-07-09	The animal attacks my other animals.	 Meet  a sweet-as-pie Brindle/Blue Nose Pit Bull who needs a new place to live	19	NULL	user06
8	Bruce	male	1	1	2018-07-09	upset that the dog bit somebody	"  sweet shy female tabby who still needs a little help socializing with people, CLEO is"	147	NULL	user25
9	Spooky	female	1	1	2018-07-10	upset that the dog chewed on something or had an accident	"  an extra lovable lap cat. He's a bit shy at first, but warms up quickly. He'"	268	7089353147	user06
10	Snowball	female	1	0	2018-07-11	The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.	  is a sweet girl that loves attention. She will sit next to you as long as you are petting	119	NULL	inge
11	Hunter	male	1	1	2018-07-12	The dog barks too much or the cat meows too much.	  is a wonderful girl that came to us pregnant. She was an excellent mama and is ready for her	96	3269693127	user13
12	Rory	male	1	0	2018-07-13	didn't know the cat would sleep all day	  is a cutie pie. Is fostered with cats and dogs	62	NULL	user11
13	Jasmine	female	1	1	2018-07-13	didn't know the cat would sleep all day	 Verde's story has a very sad beginning but I'm sure this girl gets her happy days ahead 	12	NULL	inge
14	Brody	male	1	0	2018-07-13	didn't realize that the animal would need so much attention	 was recently diagnosed with glaucoma and required surgery to remove both eyes. :( Consi	32	NULL	user11
15	Mickey	male	1	0	2018-07-17	When I got it the animal was small and cute and now it is grown up and not cute.	  is a wonderful family member.  He is 13 years old and has been with 	19	NULL	user17
16	Midnight	female	1	0	2018-07-17	My dogs pees on my baby.	 full of energy but alway ready to purr and and be snuggled and  rubbed when she 	122	NULL	user10
17	Katie	unknown	1	1	2018-07-18	I have decided that my family is allergic to the animal.	 We don't know what happened to him before he arrived	26	NULL	user13
18	Brutus	male	1	0	2018-07-18	My dogs pees on my baby.	  was rescued from euthanasia at a Texas shelter. She was a wonderful mama to her puppi	58	NULL	user25
19	Elvis	male	1	0	2018-07-18	think the dog barks too much	  We are looking for a home for our dog . He was born in December of 2015	29	NULL	user06
20	James	male	1	0	2018-07-19	I had no idea that animals were this much work.	  siblings that have the sweetest faces. They do have an eyelid 	168	895071224	user25
21	Bo	male	1	1	2018-07-20	I don't want to be responsible for the animal anymore.	 is a sweet girl who was separated from her litter after having to have a lifesaving blood tr	49	NULL	user02
22	Harry	male	1	0	2018-07-23	When I got it the animal was small and cute and now it is grown up and not cute.	 adoption fee had been sponsored by a very generous volunteer. She is a very sweet gir	69	NULL	user25
23	Hannah	female	1	0	2018-07-23	think the dog is too hyper	 loves to PLAY.  She balances being a high-energy cat with being sweet and loving.  W	11	NULL	user25
24	Bonnie	female	1	0	2018-07-23	I need to surrender my dog because it chewed my sprinkler heads.	 is a sweet girl who was separated from her litter after having to have a lifesaving blood tr	249	NULL	user10
25	Iggy	male	1	0	2018-07-24	I didn't know that owning an animal was this expensive	 full of energy but alway ready to purr and and be snuggled and  rubbed when she 	38	3418960012	user18
26	Grace	female	1	0	2018-07-24	don't like the way the dog reacted to a child	  was recently rescued from euthanasia at a Texas shelter. She has the sweetest face!  I	84	NULL	user10
27	Parker	male	1	1	2018-07-25	The animal doesn't match my new furniture.	" a very sweet boy and is looking for his forever home. He is an FIV kitty, but that wi"	133	NULL	user02
28	Bear	male	1	0	2018-07-26	upset that the dog bit somebody	 Meet a very sweet natured young pup. She is a Parvo survivor~ having spent a week 	32	NULL	user13
29	Smudge	male	1	0	2018-07-27	decided they have too many animals at home	 sweet beautiful black panther. If you are interested please fill out an application a	65	NULL	user13
30	Piper	female	1	0	2018-07-27	My doctor told me that the cat will suck the life out of my newborn baby.	 This beautiful boy  was adopted out as a puppy to a loving couple but recently has c	95	NULL	inge
31	Buddy	male	1	1	2018-07-27	I don't want to be responsible for the animal anymore.	 is a sweet but shy Lab/Terrier mix puppy who will be making his way to NJ o	245	2715897914	user02
32	Cleopatra	female	1	1	2018-07-30	I don't want the dog to scratch my new floors.	  owner lost his home and had to surrender him to us as he had no where for him to go.	100	4532210086	user18
33	Sampson	male	0	0	2018-07-31	I got a new house and don't want it.	  was rescued from a kill shelter and is the sweetest thing ever. Just wants to be loved	19	NULL	user18
